Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,Era,NA_Sales_Pct,EU_Sales_Pct,JP_Sales_Pct,Other_Sales_Pct,Success_Category,Multi_Region_Success
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,2000,2000s,0.5014503263234228,0.3507372492144066,0.045564418660865365,0.10224800580130532,Blockbuster (10M+),True
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,1980,Pre-1990,0.7226640159045725,0.0889662027833002,0.169234592445328,0.019135188866799203,Blockbuster (10M+),True
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,2000,2000s,0.4424902289223897,0.3595756560580681,0.1058068118369626,0.09240647682858738,Blockbuster (10M+),True
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,2000,2000s,0.4772727272727273,0.3336363636363636,0.09939393939393938,0.08969696969696969,Blockbuster (10M+),True
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,1990,1990s,0.35926043991074275,0.28339177558176604,0.32578897035384125,0.031877590054191905,Blockbuster (10M+),True
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,1980,Pre-1990,0.7666886979510905,0.07468605419695967,0.13945803040317248,0.019167217448777262,Blockbuster (10M+),True
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,2000,2000s,0.37920693102299236,0.30756414528490506,0.2165944685104965,0.09663445518160613,Blockbuster (10M+),True
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,2000,2000s,0.48345968297725705,0.31702274293590627,0.10096485182632668,0.09820813232253618,Blockbuster (10M+),True
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,2000,2000s,0.5097833682739343,0.246680642907058,0.1642208245981831,0.07896575821104122,Blockbuster (10M+),True
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,1980,Pre-1990,0.9512539738608266,0.022253620628753093,0.009890498057223597,0.01660190745319675,Blockbuster (10M+),True
11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,2000,2000s,0.36631663974151857,0.444264943457189,0.07794830371567042,0.11106623586429724,Blockbuster (10M+),True
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,2000,2000s,0.4188727583262169,0.3232280102476516,0.1763450042698548,0.08198121263877027,Blockbuster (10M+),True
